"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"OUT1","HDR1X4","38.6334mm","76.124mm","38.6334mm","79.934mm","38.6334mm","79.934mm","T","270.00","SWD"
"P1","USB-MICRO","2.5926mm","76.0986mm","1.1176mm","76.0986mm","4.0676mm","77.3986mm","T","270.00","USB-MICRO"
"R1","R0603-M","9.398mm","69.8756mm","9.398mm","69.8756mm","8.623mm","69.8756mm","T","360.00","Resistors SMD"
"R2","R0603-M","9.398mm","68.4786mm","9.398mm","68.4786mm","8.623mm","68.4786mm","T","360.00","Resistors SMD"
"R3","R0603-M","9.398mm","71.2218mm","9.398mm","71.2218mm","8.623mm","71.2218mm","T","0.00","Resistors SMD"
"R4","R0603-M","25.3746mm","82.7026mm","25.3746mm","82.7026mm","26.1496mm","82.7026mm","T","180.00","Resistors SMD"
"R5","R0603-M","7.8232mm","83.9726mm","7.8232mm","83.9726mm","8.5982mm","83.9726mm","T","180.00","Resistors SMD"
"R6","R0603-M","20.7772mm","81.3564mm","20.7772mm","81.3564mm","20.0022mm","81.3564mm","T","0.00","Resistors SMD"
"R7","R0603-M","26.6192mm","72.3394mm","26.6192mm","72.3394mm","26.6192mm","73.1144mm","T","270.00","Resistors SMD"
"R8","R0603-M","29.2482mm","79.807mm","29.2482mm","79.807mm","30.0232mm","79.807mm","T","180.00","Resistors SMD"
"R9","R0603-M","30.0482mm","76.9368mm","30.0482mm","76.9368mm","30.0482mm","77.7118mm","T","270.00","Resistors SMD"
"R10","R0603-M","28.7528mm","76.9368mm","28.7528mm","76.9368mm","28.7528mm","77.7118mm","T","270.00","Resistors SMD"
"R11","R0603-M","16.764mm","81.5088mm","16.764mm","81.5088mm","17.539mm","81.5088mm","T","180.00","Resistors SMD"
"R12","R0603-M","26.0096mm","76.9114mm","26.0096mm","76.9114mm","26.0096mm","76.1364mm","T","90.00","Resistors SMD"
"R13","R0603-M","24.9174mm","70.2312mm","24.9174mm","70.2312mm","25.6924mm","70.2312mm","T","180.00","Resistors SMD"
"R14","R0603-M","19.812mm","82.9312mm","19.812mm","82.9312mm","19.037mm","82.9312mm","T","360.00","Resistors SMD"
"U2","ST_LQFP-48_7x7MM","19.7866mm","75.3874mm","19.7866mm","75.3874mm","24.0366mm","72.6374mm","T","180.00","ST STM32F103 48PIN"
"U3","SOT-223","9.7842mm","79.44mm","13.2842mm","77.14mm","13.2842mm","77.14mm","T","270.00","AMS1117-3V3"
"X3","XTAL_ABLS2_ABR","33.782mm","76.073mm","33.782mm","76.0732mm","33.782mm","80.931mm","T","270.00","8MHz"
"C14","CAPC1005X04L","60.325mm","79.9892mm","60.325mm","79.9892mm","60.325mm","79.4892mm","T","90.00","12pF"
"L2","INDC1608X06L","55.7022mm","81.204mm","55.7022mm","81.204mm","55.0272mm","81.204mm","T","360.00","10£gH"
"C10","CAPC1608X06L","55.7276mm","83.2868mm","55.7276mm","83.2868mm","55.0526mm","83.2868mm","T","360.00","1.0£gF"
"C4","CAPC1005X04L","52.832mm","81.3564mm","52.832mm","81.3564mm","53.332mm","81.3564mm","T","180.00","100nF"
"C5","CAPC1005X04L","50.1904mm","73.7618mm","50.1904mm","73.7618mm","49.6904mm","73.7618mm","T","360.00","100nF"
"C7","CAPC1005X04L","63.0428mm","72.568mm","63.0428mm","72.568mm","62.5428mm","72.568mm","T","360.00","100pF"
"C1","CAPC1005X04L","63.0428mm","73.457mm","63.0428mm","73.457mm","62.5428mm","73.457mm","T","360.00","12pF"
"X1","BT-XTAL_2016","63.1698mm","75.1588mm","63.1698mm","75.1588mm","63.8948mm","75.7338mm","T","180.00","32MHz"
"C8","CAPC1005X04L","63.3984mm","79.9848mm","63.3984mm","79.9848mm","63.3984mm","79.4848mm","T","90.00","100nF"
"C9","CAPC1608X06L","53.086mm","82.5248mm","53.086mm","82.5248mm","53.761mm","82.5248mm","T","180.00","4.7£gF"
"C6","CAPC1005X04L","63.0428mm","71.679mm","63.0428mm","71.679mm","63.5428mm","71.679mm","T","180.00","N.C."
"C2","CAPC1005X04L","63.1444mm","76.886mm","63.1444mm","76.886mm","62.6444mm","76.886mm","T","360.00","12pF"
"L1","INDC1005X04L","60.9346mm","70.0026mm","60.9346mm","70.0026mm","60.4596mm","70.0026mm","T","360.00","3.9nH"
"C3","CAPC1005X04L","59.69mm","70.7392mm","59.69mm","70.7392mm","60.0436mm","71.0927mm","T","225.00","0.8pF"
"X2","XTAL_3215","49.9618mm","80.9246mm","49.9618mm","80.9246mm","51.2118mm","80.9246mm","T","180.00","32.768kHz"
"C12","CAPC1005X04L","48.6918mm","82.9312mm","48.6918mm","82.9312mm","48.6918mm","82.4312mm","T","90.00","12pF"
"C11","CAPC1005X04L","51.2318mm","82.9312mm","51.2318mm","82.9312mm","51.2318mm","82.4312mm","T","90.00","12pF"
"C_tune1","CAPC1005X04L","46.3294mm","76.2256mm","46.3294mm","76.2256mm","46.8294mm","76.2256mm","T","180.00","TBD"
"C_tune2","CAPC1005X04L","46.3296mm","74.9556mm","46.3296mm","74.9556mm","45.8296mm","74.9556mm","T","360.00","TBD"
"C13","CAPC1005X04L","62.0268mm","79.9848mm","62.0268mm","79.9848mm","62.0268mm","79.4848mm","T","90.00","12pF"
"P2","HDR1X4","41.1734mm","76.124mm","41.1734mm","79.934mm","41.1734mm","79.934mm","T","270.00","SWD"

